School_Name|Reg_nr|Language|Address|Year|Number_of_students|Active
"Privātā pamatskola ""Maksima"""|3612801468|Krievu|BULTU IELA 10, RĪGA, LV-1057|2009|64|1
Rīgas 6. vidusskola|3613900684|Latviešu|ALEKSANDRA ČAKA IELA 102, RĪGA, LV-1011|2009|849|1
Rīgas 15. vidusskola|3613900677|Krievu|VISVALŽA IELA 9, RĪGA, LV-1050|2009|427|1
Rīgas 25. vidusskola|3613900678|Latviešu|RUŠONU IELA 6, RĪGA, LV-1057|2009|864|1
Rīgas 32. vidusskola|3613900662|Krievu|VIĻĀNU IELA 13, RĪGA, LV-1003|2009|371|1
Rīgas Krievu vidusskola|3613900667|Krievu|LAUKU IELA 9, RĪGA, LV-1009|2009|385|1
Rīgas 51. vidusskola|3613900685|Krievu|MASKAVAS IELA 262, RĪGA, LV-1063|2009|562|1
Rīgas Universālā vidusskola|3613900680|Krievu|MASKAVAS IELA 273, RĪGA, LV-1063|2009|776|1
Rīgas Sergeja Žoltoka vidusskola|3613900665|Krievu|VIETALVAS IELA 15, RĪGA, LV-1035|2009|379|1
Rīgas 62. vidusskola|3613900666|Latviešu|AVIĀCIJAS IELA 15, RĪGA, LV-1057|2009|392|1
Rīgas 65. vidusskola|3613900664|Krievu|PRŪŠU IELA 32, RĪGA, LV-1057|2009|462|1
Rīgas 72. vidusskola|3613900670|Krievu|IKŠĶILES IELA 6, RĪGA, LV-1057|2009|1120|1
Rīgas 75. vidusskola|3613900682|Krievu|OGRES IELA 9, RĪGA, LV-1019|2009|649|1
Kārļa Videnieka Rīgas 77. vidusskola|3613900668|Latviešu|AVOTU IELA 44, RĪGA, LV-1009|2009|453|1
Rīgas 86. vidusskola|3613900683|Krievu|ILŪKSTES IELA 10, RĪGA, LV-1082|2009|576|1
Rīgas 88. vidusskola|3613900672|Krievu|ILŪKSTES IELA 30, RĪGA, LV-1082|2009|1147|1
Rīgas 90. vidusskola|3613900671|Latviešu|JĀŅA GRESTES IELA 14, RĪGA, LV-1021|2009|396|1
Rīgas 92. vidusskola|3613900679|Krievu|ULBROKAS IELA 3, RĪGA, LV-1021|2009|1028|1
