IzglītībasIestāde,Kopvērtējums,Kārtotāju skaits,Priekšmets
"Privātā vidusskola ""Citruss""",41.89%,1,MAT9
"Privātā vidusskola ""Klasika""",66.86%,10,MAT9
"Privātā vidusskola ""Laisma""",54.05%,9,MAT9
"Privātā vidusskola ""Norma""",61.49%,2,MAT9
"Privātā vidusskola ""Patnis""",58.78%,6,MAT9
"Privātā vidusskola ""RIMS""",72.07%,3,MAT9
Privātā vidusskola Ādažu Brīvā Valdorfa skola,49.53%,23,MAT9
"Privātskola ""Latreia""",64.45%,13,MAT9
"Profesionālās izglītības kompetences centrs ""Nacionālā Mākslu vidusskola"" (prof.)",58.71%,61,MAT9
Pumpuru vidusskola,42.14%,43,MAT9
Pūņu pamatskola,53.04%,12,MAT9
Pūres pamatskola,47.97%,18,MAT9
Puškina licejs,62.83%,53,MAT9
Pušmucovas pamatskola,49.49%,8,MAT9
Puzes pamatskola,55.14%,5,MAT9
Raiskuma internātpamatskola - rehabilitācijas centrs,36.49%,2,MAT9
Rāmuļu pamatskola,34.46%,10,MAT9
Randenes pamatskola,50.90%,3,MAT9
Rankas pamatskola,22.30%,2,MAT9
Raunas vidusskola,54.89%,13,MAT9
Rekavas vidusskola,69.29%,18,MAT9
Remtes pamatskola,50.23%,6,MAT9
Rencēnu pamatskola,47.80%,8,MAT9
Rēzeknes 2. vidusskola,61.02%,45,MAT9
Rēzeknes 3. vidusskola,58.59%,39,MAT9
Rēzeknes 4. vidusskola,40.33%,19,MAT9
Rēzeknes 5. vidusskola,58.04%,42,MAT9
Rēzeknes 6. vidusskola,66.46%,28,MAT9
Rēzeknes internātpamatskola-attīstības centrs,55.86%,9,MAT9
Rēzeknes Katoļu vidusskola,57.66%,15,MAT9
Rēzeknes Valsts 1. ģimnāzija,67.08%,61,MAT9
Rēzeknes valsts poļu ģimnāzija,55.87%,52,MAT9
Rēznas pamatskola,46.76%,10,MAT9
Riebiņu vidusskola,39.92%,13,MAT9
Rīgas 1. Tālmācības vidusskola,29.73%,29,MAT9
Rīgas 1. vidusskola,32.83%,36,MAT9
Rīgas 10. vidusskola,73.53%,75,MAT9
Rīgas 13. vidusskola,59.49%,45,MAT9
Rīgas 14. vakara (maiņu) vidusskola,17.84%,10,MAT9
Rīgas 15. vidusskola,54.26%,20,MAT9
Rīgas 18. vakara (maiņu) vidusskola,19.76%,16,MAT9
Rīgas 19. vidusskola,30.48%,9,MAT9
Rīgas 21. vidusskola,51.55%,41,MAT9
Rīgas 22. vidusskola,45.98%,45,MAT9
Rīgas 25. vidusskola,48.92%,64,MAT9
Rīgas 28. vidusskola,37.79%,29,MAT9
Rīgas 29. vidusskola,51.54%,7,MAT9
Rīgas 31. vidusskola,48.26%,45,MAT9
Rīgas 33. vidusskola,54.68%,60,MAT9
Rīgas 34. vidusskola,63.46%,95,MAT9
Rīgas 37. vidusskola,31.62%,15,MAT9
Rīgas 40. vidusskola,69.33%,92,MAT9
Rīgas 41. vidusskola,45.10%,40,MAT9
Rīgas 45. vidusskola,43.56%,51,MAT9
Rīgas 46. vidusskola,41.47%,29,MAT9
Rīgas 47. vidusskola,54.30%,33,MAT9
Rīgas 49. vidusskola,72.41%,86,MAT9
Rīgas 51. vidusskola,47.96%,49,MAT9
Rīgas 53. vidusskola,38.85%,32,MAT9
Rīgas 54. vidusskola,45.90%,33,MAT9
Rīgas 6. vidusskola,57.38%,54,MAT9
Rīgas 60. vidusskola,35.52%,32,MAT9
Rīgas 61. vidusskola,40.61%,20,MAT9
Rīgas 63. vidusskola,38.68%,61,MAT9
Rīgas 64. vidusskola,66.53%,99,MAT9
Rīgas 65. vidusskola,42.88%,52,MAT9
Rīgas 66. speciālā vidusskola,48.38%,20,MAT9
Rīgas 69. vidusskola,59.85%,24,MAT9
Rīgas 7. pamatskola,61.58%,7,MAT9
Rīgas 71. vidusskola,56.42%,57,MAT9
Rīgas 72. vidusskola,49.34%,74,MAT9
Rīgas 74. vidusskola,61.22%,40,MAT9
Rīgas 75. vidusskola,43.77%,36,MAT9
Rīgas 80. vidusskola,48.80%,52,MAT9
Rīgas 84. vidusskola,63.82%,58,MAT9
Rīgas 85. vidusskola,49.39%,31,MAT9
Rīgas 86. vidusskola,37.71%,43,MAT9
Rīgas 88. vidusskola,47.54%,104,MAT9
Rīgas 89. vidusskola,39.02%,39,MAT9
Rīgas 9. vakara (maiņu) vidusskola,18.47%,18,MAT9
Rīgas 92. vidusskola,47.97%,52,MAT9
Rīgas 93. vidusskola,44.59%,45,MAT9
Rīgas 94. vidusskola,45.05%,36,MAT9
Rīgas 95. vidusskola,53.52%,81,MAT9
Rīgas 96. vidusskola,46.17%,49,MAT9
Rīgas Angļu ģimnāzija,55.84%,78,MAT9
Rīgas Anniņmuižas vidusskola,51.23%,43,MAT9
Rīgas Austrumu vidusskola,37.36%,20,MAT9
Rīgas Avotu pamatskola,44.24%,19,MAT9
Rīgas Centra daiļamatniecības pamatskola,51.55%,40,MAT9
Rīgas Centra humanitārā vidusskola,72.35%,78,MAT9
Rīgas Daugavgrīvas vidusskola,60.99%,37,MAT9
Rīgas Ezerkrastu pamatskola,23.96%,11,MAT9
Rīgas Franču licejs,73.42%,51,MAT9
Rīgas Hanzas vidusskola,55.34%,61,MAT9
Rīgas Igauņu pamatskola,69.13%,13,MAT9
Rīgas Imantas vidusskola,46.18%,53,MAT9
Rīgas Itas Kozakēvičas Poļu vidusskola,57.46%,25,MAT9
Rīgas Jāņa Poruka vidusskola,41.82%,18,MAT9
Rīgas Juglas vidusskola,59.44%,71,MAT9
Rīgas Katoļu ģimnāzija,38.44%,9,MAT9
Rīgas Klasiskā ģimnāzija,62.58%,104,MAT9
Rīgas Kristīgā vidusskola,33.90%,23,MAT9
Rīgas Kultūru vidusskola,67.69%,45,MAT9
Rīgas Ķengaraga vidusskola,54.83%,42,MAT9
Rīgas Lastādijas internātpamatskola,18.68%,17,MAT9
Rīgas Lietuviešu vidusskola,57.31%,17,MAT9
Rīgas Mūzikas internātvidusskola,28.24%,10,MAT9
Rīgas Natālijas Draudziņas vidusskola ,62.81%,48,MAT9
Rīgas Ostvalda vidusskola,55.68%,50,MAT9
Rīgas Pārdaugavas pamatskola,49.53%,20,MAT9
Rīgas Pļavnieku pamatskola,49.07%,55,MAT9
Rīgas Purvciema vidusskola,63.35%,100,MAT9
Rīgas Raiņa 8. vakara (maiņu) vidusskola,21.42%,20,MAT9
Rīgas Rīnūžu vidusskola,50.09%,44,MAT9
Rīgas Sergeja Žoltoka vidusskola,44.16%,25,MAT9
Rīgas Tālmācības vidusskola,35.95%,25,MAT9
Rīgas Teikas vidusskola,71.82%,88,MAT9
Rīgas Ukraiņu vidusskola,42.16%,15,MAT9
Rīgas vakara ģimnāzija,34.42%,32,MAT9
Rīgas Valdorfskola,50.54%,35,MAT9
Rīgas Valsts 1. ģimnāzija,93.21%,122,MAT9
Rīgas Valsts 2. ģimnāzija,86.75%,88,MAT9
Rīgas Valsts 3. ģimnāzija,82.39%,106,MAT9
Rīgas Valsts vācu ģimnāzija,61.52%,108,MAT9
Rīgas Zolitūdes ģimnāzija,62.98%,122,MAT9
Rites pamatskola,18.92%,1,MAT9
Robežnieku pamatskola,55.79%,7,MAT9
Rojas vidusskola,54.59%,20,MAT9
Ropažu vidusskola,49.27%,24,MAT9
Rožupes pamatskola,59.19%,5,MAT9
Rubenes pamatskola,44.44%,18,MAT9
Rubeņu pamatskola,57.96%,9,MAT9
Rucavas pamatskola,52.36%,8,MAT9
Rudzātu vidusskola,59.07%,7,MAT9
Rugāju novada Eglaines pamatskola,48.07%,7,MAT9
Rugāju novada vidusskola,38.38%,10,MAT9
Rūjienas vidusskola,53.38%,34,MAT9
Rušonas pamatskola,46.76%,5,MAT9
Sabiles pamatskola,60.92%,12,MAT9
Sakstagala Jāņa Klīdzēja pamatskola,58.56%,12,MAT9
Salacgrīvas vidusskola,40.31%,29,MAT9
Salas pamatskola,69.93%,4,MAT9
Salas vidusskola,56.89%,21,MAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",59.09%,62,MAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",35.72%,62,MAT9
Saldus novada pašvaldības Cieceres internātpamatskola,37.36%,20,MAT9
Saldus novada pašvaldības Druvas vidusskola,58.00%,13,MAT9
Saldus novada pašvaldības Ezeres pamatskola,42.57%,10,MAT9
Saldus novada pašvaldības Jaunlutriņu pamatskola,50.17%,8,MAT9
Saldus novada pašvaldības Kursīšu pamatskola,56.08%,8,MAT9
Saldus novada pašvaldības Lutriņu pamatskola,47.68%,7,MAT9
Saldus novada pašvaldības Pampāļu pamatskola,43.41%,8,MAT9
Saldus novada pašvaldības Rubas pamatskola,60.32%,11,MAT9
Saldus novada pašvaldības Zirņu pamatskola,59.19%,10,MAT9
Saldus pamatskola,53.70%,23,MAT9
Saldus Vakara vidusskola,43.69%,3,MAT9
Saldus vidusskola,58.25%,59,MAT9
Salgales pamatskola,41.55%,4,MAT9
Salienas vidusskola,74.44%,12,MAT9
Salnavas pamatskola,57.30%,5,MAT9
Saulkrastu vidusskola,70.66%,28,MAT9
Seces pagasta pamatskola,43.61%,11,MAT9
Sējas pamatskola,48.44%,13,MAT9
Sesavas pamatskola,34.12%,8,MAT9
Siguldas 1. pamatskola,50.14%,30,MAT9
Siguldas pilsētas vidusskola,54.60%,42,MAT9
Siguldas Valsts ģimnāzija,70.32%,76,MAT9
Sikšņu pamatskola,27.48%,3,MAT9
Silenes pamatskola,54.05%,2,MAT9
Sīļukalna pamatskola,47.88%,7,MAT9
Skaistkalnes vidusskola,50.37%,11,MAT9
Skrundas vidusskola,51.97%,35,MAT9
Slokas pamatskola,56.08%,34,MAT9
Smārdes pamatskola,61.71%,6,MAT9
Smiltenes vidusskola,48.37%,67,MAT9
"Sociālās korekcijas izglītības iestāde ""Naukšēni""",55.14%,5,MAT9
Stacijas pamatskola,57.43%,10,MAT9
Stacijas pamatskolas Vīksnas filiāle (strukt.),54.05%,3,MAT9
Staiceles vidusskola,54.44%,7,MAT9
Stāķu pamatskola,52.70%,9,MAT9
Stalbes vidusskola,45.21%,11,MAT9
Staļģenes vidusskola,50.74%,22,MAT9
Stāmerienas pamatskola,33.98%,7,MAT9
Stelpes pamatskola,49.03%,7,MAT9
Stendes pamatskola,30.41%,6,MAT9
Stopiņu pamatskola,41.98%,15,MAT9
Straupes pamatskola,65.37%,8,MAT9
Strautiņu pamatskola,65.54%,12,MAT9
Strenču novada vidusskola,58.11%,12,MAT9
Struktūrvienība Brasas cietumā (strukt.),19.26%,4,MAT9
Sunākstes pamatskola,58.45%,4,MAT9
Suntažu internātpamatskola - rehabilitācijas centrs,42.84%,5,MAT9
Suntažu vidusskola,47.48%,15,MAT9
Sūnu pamatskola,44.05%,10,MAT9
Sventes vidusskola,55.68%,5,MAT9
Svētes pamatskola,40.35%,14,MAT9
Š. Dubnova Rīgas Ebreju vidusskola,61.33%,13,MAT9
Šķaunes pamatskola,53.15%,3,MAT9
Šķeltovas pamatskola,50.00%,5,MAT9
Šķibes pamatskola,54.44%,7,MAT9
Špoģu vidusskola,69.76%,24,MAT9
"Tālmācības vidusskola ""Rīgas Komercskola""",59.50%,12,MAT9
Talsu 2. vidusskola,50.21%,63,MAT9
Talsu Kristīgā vidusskola,65.50%,15,MAT9
Talsu novada Vakara un neklātienes vidusskola,39.32%,10,MAT9
Talsu pamatskola,63.20%,26,MAT9
Talsu Valsts ģimnāzija,62.56%,37,MAT9
Tārgales pamatskola,50.83%,13,MAT9
Taurenes pamatskola,55.86%,6,MAT9
Taurupes pamatskola,31.27%,7,MAT9
Teteles pamatskola,45.46%,14,MAT9
Tilžas internātpamatskola,46.40%,6,MAT9
Tilžas vidusskola,59.61%,9,MAT9
Tīnūžu pamatskola,59.19%,5,MAT9
Tirzas pamatskola,40.15%,7,MAT9
Tiskādu vidusskola,43.38%,10,MAT9
Torņakalna Privātā vidusskola,54.05%,1,MAT9
Trikātas pamatskola,35.81%,6,MAT9
Tukuma 2. pamatskola,62.97%,37,MAT9
Tukuma 2. vidusskola,42.93%,48,MAT9
Tukuma 3. pamatskola,27.70%,6,MAT9
Tukuma E. Birznieka-Upīša 1. pamatskola,48.49%,25,MAT9
Tukuma Raiņa ģimnāzija,64.11%,25,MAT9
Tukuma Vakara un neklātienes vidusskola,25.68%,12,MAT9
Tumes vidusskola,46.05%,13,MAT9
Turlavas pamatskola,35.41%,10,MAT9
Ugāles vidusskola,58.45%,28,MAT9
Ulbrokas vidusskola,59.28%,52,MAT9
Umurgas pamatskola,57.09%,8,MAT9
Upesleju internātpamatskola - rehabilitācijas centrs,41.22%,12,MAT9
Uzvaras vidusskola,60.67%,19,MAT9
Užavas pamatskola,36.82%,4,MAT9
V. Plūdoņa Kuldīgas ģimnāzija,50.94%,26,MAT9
Vaboles vidusskola,69.29%,11,MAT9
Vaiņodes internātpamatskola,38.96%,6,MAT9
Vaiņodes vidusskola,41.55%,24,MAT9
Vaivaru pamatskola,55.41%,9,MAT9
Valdemārpils vidusskola,31.65%,19,MAT9
Valkas Jāņa Cimzes ģimnāzija,49.21%,53,MAT9
Valmieras 2. vidusskola,40.72%,38,MAT9
Valmieras 5. vidusskola,47.01%,28,MAT9
Valmieras Pārgaujas ģimnāzija,52.48%,80,MAT9
Valmieras tehnikums Rankas teritoriālā struktūrvienība (prof.) (strukt.),22.30%,8,MAT9
Valmieras Valsts ģimnāzija,58.87%,60,MAT9
Valmieras Viestura vidusskola,57.12%,56,MAT9
Vandzenes pamatskola,30.00%,10,MAT9
Vānes pamatskola,44.59%,7,MAT9
Vangažu vidusskola,53.80%,27,MAT9
Varakļānu vidusskola,56.08%,16,MAT9
Variņu pamatskola,38.14%,9,MAT9
Vārkavas vidusskola,62.30%,10,MAT9
Vārmes pamatskola,58.85%,11,MAT9
Vecpiebalgas vidusskola,53.01%,13,MAT9
Vecsaules pamatskola,42.01%,22,MAT9
Vecumnieku novada Domes Valles vidusskola,41.89%,12,MAT9
Vecumnieku vidusskola,57.14%,28,MAT9
Ventspils 1. pamatskola,52.56%,25,MAT9
Ventspils 2. pamatskola,51.71%,15,MAT9
Ventspils 2. vidusskola,56.47%,42,MAT9
Ventspils 3. vidusskola,43.65%,33,MAT9
Ventspils 4. vidusskola,67.88%,52,MAT9
Ventspils 6. vidusskola,55.35%,49,MAT9
Ventspils Pārventas pamatskola,41.15%,20,MAT9
Ventspils Valsts 1. ģimnāzija,72.21%,62,MAT9
Verēmu pamatskola,55.20%,13,MAT9
Vērgales pamatskola,60.95%,10,MAT9
Vestienas pamatskola,54.05%,7,MAT9
Vidrižu pamatskola,49.03%,7,MAT9
Viduču pamatskola,74.10%,6,MAT9
Viesītes vidusskola,60.22%,23,MAT9
Vijciema pamatskola,64.86%,2,MAT9
Vilces pamatskola,33.45%,8,MAT9
Vilgāles pamatskola,30.50%,7,MAT9
Viļakas Valsts ģimnāzija,50.88%,20,MAT9
Viļānu vidusskola,53.59%,50,MAT9
Vīpes pamatskola,42.57%,2,MAT9
Virbu pamatskola,56.42%,8,MAT9
Vircavas vidusskola,39.13%,22,MAT9
Virgas pamatskola,39.94%,9,MAT9
Z.A. Meierovica Kabiles pamatskola,45.20%,9,MAT9
Zaķumuižas pamatskola,55.63%,12,MAT9
Zaļenieku komerciālā un amatniecības vidusskola,44.46%,10,MAT9
Zasas vidusskola,41.59%,9,MAT9
Zaubes pamatskola,34.56%,7,MAT9
Zemgales vidusskola,42.54%,27,MAT9
Zemītes pamatskola,46.49%,10,MAT9
Ziemeļvalstu ģimnāzija,55.56%,60,MAT9
Ziemeru pamatskola,44.05%,5,MAT9
Zilupes vidusskola,44.02%,26,MAT9
Zūru pamatskola,38.98%,13,MAT9
Zvejniekciema vidusskola,50.55%,27,MAT9
Žīguru pamatskola,61.71%,6,MAT9
