"Novada 
kods",Skola,"Skolas 
kods",Priekšmets,Kopvērtējums,"Kārtotāju 
skaits"
45,Jēkabpils vakara vidusskola,4543206,LAT12,38.60%,20
45,Jēkabpils Valsts ģimnāzija,4561207,ANG12,72.89%,72
45,Jēkabpils Valsts ģimnāzija,4561207,MAT12,45.72%,77
45,Jēkabpils Valsts ģimnāzija,4561207,LAT12,66.90%,79
46,Jūrmalas pilsētas Jaundubultu vidusskola,4633203,ANG12,64.11%,13
46,Jūrmalas pilsētas Jaundubultu vidusskola,4633203,MAT12,37.41%,14
46,Jūrmalas pilsētas Jaundubultu vidusskola,4633203,LAT12,38.19%,14
46,Jūrmalas pilsētas Kauguru vidusskola,4632204,ANG12,60.89%,19
46,Jūrmalas pilsētas Kauguru vidusskola,4632204,MAT12,46.84%,19
46,Jūrmalas pilsētas Kauguru vidusskola,4632204,LAT12,41.98%,19
46,Jūrmalas pilsētas Mežmalas vidusskola,4632206,ANG12,49.92%,16
46,Jūrmalas pilsētas Mežmalas vidusskola,4632206,MAT12,27.46%,16
46,Jūrmalas pilsētas Mežmalas vidusskola,4632206,LAT12,39.02%,16
46,Jūrmalas vakara vidusskola,4643210,ANG12,54.03%,12
46,Jūrmalas vakara vidusskola,4643210,MAT12,33.85%,30
46,Jūrmalas vakara vidusskola,4643210,LAT12,48.08%,30
46,Jūrmalas Valsts ģimnāzija,4661211,ANG12,69.25%,48
46,Jūrmalas Valsts ģimnāzija,4661211,MAT12,39.29%,50
46,Jūrmalas Valsts ģimnāzija,4661211,LAT12,59.68%,50
46,Majoru vidusskola,4631223,ANG12,72.95%,9
46,Majoru vidusskola,4631223,MAT12,39.06%,10
46,Majoru vidusskola,4631223,LAT12,58.35%,10
46,Murjāņu sporta ģimnāzija Jūrmalas filiāle,4651215,ANG12,35.11%,7
46,Murjāņu sporta ģimnāzija Jūrmalas filiāle,4651215,MAT12,11.07%,7
