Nosaukums,Skolas kods,Kopvērtējums,Skaits,Priekšmets
Ilmāra Gaiša Kokneses vidusskola,4931403,75.14%,32,LAT9
Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,4971406,45.45%,13,LAT9
Kokneses internātpamatskola - attīstības centrs,4981404,40.00%,1,LAT9
Krāslavas pamatskola,5021306,59.55%,50,LAT9
Indras pamatskola,5021402,52.38%,13,LAT9
Izvaltas pamatskola,5021403,58.36%,10,LAT9
Robežnieku pamatskola,5021412,43.64%,7,LAT9
Garlība Merķeļa Lēdurgas pamatskola,5121401,70.56%,13,LAT9
Krimuldas vidusskola,5131402,53.90%,28,LAT9
Krustpils pamatskola,5221208,60.57%,16,LAT9
Mežāres pamatskola,5221404,61.52%,6,LAT9
Sūnu pamatskola,5221405,58.82%,10,LAT9
Vīpes pamatskola,5221407,50.91%,4,LAT9
Brāļu Skrindu Atašienes vidusskola,5231402,49.09%,1,LAT9
Kuldīgas pamatskola,5321307,60.07%,27,LAT9
Ēdoles pamatskola,5321402,65.53%,12,LAT9
Turlavas pamatskola,5321417,51.02%,8,LAT9
Vārmes pamatskola,5321419,55.05%,9,LAT9
Z.A. Meierovica Kabiles pamatskola,5321421,52.32%,9,LAT9
Kuldīgas 2. vidusskola,5331303,51.74%,34,LAT9
Kuldīgas Centra vidusskola,5331305,59.71%,37,LAT9
Kuldīgas Mākslas un humanitāro zinību vidusskola,5331306,71.41%,27,LAT9
V. Plūdoņa Kuldīgas ģimnāzija,5351318,56.53%,27,LAT9
Birzgales pamatskola,5421401,59.81%,14,LAT9
Ķeguma komercnovirziena vidusskola,5431302,66.23%,20,LAT9
Daugmales pamatskola,5521402,70.30%,9,LAT9
"Privātā pamatskola ""Gaismas tilts 97""",5521405,75.45%,3,LAT9
Ķekavas vidusskola,5531403,72.89%,68,LAT9
Baložu vidusskola,5533301,56.12%,19,LAT9
Lēdmanes pamatskola,5621405,66.21%,12,LAT9
Lielvārdes pamatskola,5623306,70.14%,26,LAT9
Edgara Kauliņa Lielvārdes vidusskola,5631301,60.61%,43,LAT9
Jumpravas vidusskola,5631403,56.14%,16,LAT9
Liepājas Katoļu pamatskola,5721216,73.39%,11,LAT9
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,5731201,66.00%,84,LAT9
J. Čakstes Liepājas pilsētas 10. vidusskola,5731203,65.39%,56,LAT9
Liepājas 15. vidusskola,5731204,55.92%,72,LAT9
Liepājas Raiņa 6. vidusskola,5731221,57.32%,78,LAT9
Liepājas 8. vidusskola,5733207,57.85%,25,LAT9
Liepājas vakara (maiņu) vidusskola,5741224,48.72%,22,LAT9
Liepājas Valsts 1. ģimnāzija,5761225,68.46%,112,LAT9
Liepājas internātpamatskola,5781212,48.24%,17,LAT9
Baumaņu Kārļa Viļķenes pamatskola,5821401,65.11%,8,LAT9
Lādezera pamatskola,5821405,59.35%,14,LAT9
Pāles pamatskola,5821411,64.18%,5,LAT9
Umurgas pamatskola,5821413,65.24%,13,LAT9
Vidrižu pamatskola,5821414,57.27%,5,LAT9
Limbažu 3. vidusskola,5831308,62.56%,28,LAT9
Limbažu novada ģimnāzija,5851315,64.08%,53,LAT9
Līgatnes novada vidusskola,5931301,56.14%,20,LAT9
Jaunsilavas pamatskola,6021401,66.55%,10,LAT9
Jersikas pamatskola,6021402,67.52%,11,LAT9
Rožupes pamatskola,6021406,62.58%,12,LAT9
Sutru pamatskola,6021409,71.36%,6,LAT9
Līvānu 1. vidusskola,6031303,70.00%,35,LAT9
Rudzātu vidusskola,6031408,68.00%,5,LAT9
Līvānu novada Vakara (maiņu) vidusskola,6041305,39.09%,6,LAT9
Meirānu Kalpaka pamatskola,6121402,62.73%,3,LAT9
Lubānas vidusskola,6131301,60.27%,17,LAT9
Nirzas pamatskola,6221408,46.36%,3,LAT9
Pildas pamatskola,6221410,64.55%,9,LAT9
Ludzas novada vakara vidusskola,6241306,55.23%,4,LAT9
Ludzas pilsētas ģimnāzija,6251307,70.84%,39,LAT9
Barkavas pamatskola,6321402,68.71%,12,LAT9
Bērzaunes pamatskola,6321403,61.33%,15,LAT9
Degumnieku pamatskola,6321404,73.18%,4,LAT9
Dzelzavas pamatskola,6321405,51.64%,10,LAT9
Kalsnavas pamatskola,6321408,59.77%,12,LAT9
Kristiāna Dāvida pamatskola,6321409,55.15%,3,LAT9
Kusas pamatskola,6321410,68.33%,6,LAT9
Lazdonas pamatskola,6321411,63.64%,7,LAT9
Liezēres pamatskola,6321412,68.73%,10,LAT9
Mārcienas pamatskola,6321418,52.88%,6,LAT9
Mētrienas pamatskola,6321419,70.78%,7,LAT9
Praulienas pamatskola,6321421,64.63%,11,LAT9
Vestienas pamatskola,6321423,51.52%,3,LAT9
Madonas pilsētas 1. vidusskola,6331314,69.28%,43,LAT9
Madonas pilsētas 2. vidusskola,6331315,52.15%,25,LAT9
Andreja Eglīša Ļaudonas vidusskola,6331413,57.58%,18,LAT9
Madonas Vakara un neklātienes vidusskola,6341316,55.00%,8,LAT9
Madonas Valsts ģimnāzija,6361317,76.36%,27,LAT9
Mazsalacas vidusskola,6431301,66.07%,22,LAT9
Mālpils novada vidusskola,6531303,73.40%,38,LAT9
Mālpils internātpamatskola,6581301,51.82%,11,LAT9
Mārupes pamatskola,6621302,61.82%,10,LAT9
Mārupes vidusskola,6631303,58.75%,90,LAT9
Naukšēnu novada vidusskola,6731402,60.75%,17,LAT9
"Sociālās korekcijas izglītības iestāde ""Naukšēni""",6781404,60.30%,3,LAT9
Mazzalves pamatskola,6821401,63.18%,8,LAT9
Sproģu pamatskola,6821403,74.55%,2,LAT9
Neretas Jāņa Jaunsudrabiņa vidusskola,6831402,64.96%,24,LAT9
Rudes pamatskola,6921402,82.42%,3,LAT9
Nīcas vidusskola,6931401,66.36%,17,LAT9
Madlienas vidusskolas Krapes filiāle,7021402,52.73%,4,LAT9
Ķeipenes pamatskola,7021403,64.04%,9,LAT9
Ogresgala pamatskola,7021415,55.31%,13,LAT9
Taurupes pamatskola,7021419,70.11%,8,LAT9
Ogres 1. vidusskola,7031308,67.73%,72,LAT9
Madlienas vidusskola,7031405,66.65%,22,LAT9
Mazozolu filiāle,7031406,43.18%,2,LAT9
Suntažu vidusskola,7031418,58.39%,30,LAT9
OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA,7041308,58.48%,3,LAT9
Ogres Valsts ģimnāzija,7061314,70.34%,92,LAT9
Suntažu internātpamatskola - rehabilitācijas centrs,7081416,45.91%,2,LAT9
Olaines 1. vidusskola,7131301,72.56%,64,LAT9
Garozas pamatskola,7221401,56.62%,7,LAT9
Salgales pamatskola,7221403,62.73%,9,LAT9
Teteles pamatskola,7223404,71.65%,11,LAT9
Ozolnieku vidusskola,7231402,73.66%,36,LAT9
Straupes pamatskola,7321406,62.84%,8,LAT9
Stalbes vidusskola,7331405,60.45%,12,LAT9
Vērgales pamatskola,7421402,73.01%,13,LAT9
Pāvilostas vidusskola,7431301,63.77%,14,LAT9
Pļaviņu novada ģimnāzija,7551302,66.76%,34,LAT9
Preiļu 1. pamatskola,7621304,65.47%,56,LAT9
Pelēču pamatskola,7621402,51.82%,7,LAT9
Salas pamatskola,7621409,64.36%,5,LAT9
Preiļu novada Vakara (maiņu) un neklātienes vidusskola,7643306,48.64%,2,LAT9
Gramzdas pamatskola,7721401,58.00%,5,LAT9
Kalētu pamatskola,7721402,66.02%,8,LAT9
Krotes Kronvalda Ata pamatskola,7721403,54.81%,7,LAT9
Virgas pamatskola,7721406,53.56%,12,LAT9
Priekules vidusskola,7731304,64.34%,13,LAT9
Liepas pamatskola,7821402,59.03%,15,LAT9
Mārsnēnu pamatskola,7821403,52.73%,8,LAT9
Priekuļu vidusskola,7831404,58.39%,22,LAT9
Drustu pamatskola,7921402,63.98%,8,LAT9
Raunas vidusskola,7931403,64.95%,18,LAT9
Rikavas pamatskola,8021327,66.36%,8,LAT9
Bērzgales pamatskola,8021404,65.23%,8,LAT9
Feimaņu pamatskola,8021407,63.73%,10,LAT9
Gaigalavas pamatskola,8021408,61.52%,9,LAT9
Jaunstrūžānu pamatskola,8021410,54.29%,7,LAT9
Kalnezeru Katoļu pamatskola,8021411,53.88%,11,LAT9
Rēznas pamatskola,8021426,57.88%,9,LAT9
Verēmu pamatskola,8021433,68.18%,13,LAT9
Sakstagala Jāņa Klīdzēja pamatskola,8023428,69.72%,13,LAT9
Dricānu vidusskola,8031406,55.76%,15,LAT9
Lūcijas Rancānes Makašānu Amatu vidusskola,8031418,56.55%,5,LAT9
Nautrēnu vidusskola,8031424,50.23%,20,LAT9
Kaunatas vidusskola,8033412,67.15%,15,LAT9
Maltas vidusskola,8033420,63.61%,35,LAT9
Rēzeknes 5. vidusskola,8131208,70.65%,56,LAT9
Rēzeknes Katoļu vidusskola,8131210,75.27%,20,LAT9
Rēzeknes 4. vidusskola,8132207,48.33%,6,LAT9
Rēzeknes valsts poļu ģimnāzija,8154215,66.51%,32,LAT9
Rēzeknes Valsts 1. ģimnāzija,8161214,76.60%,51,LAT9
Rēzeknes logopēdiskā internātpamatskola,8181211,58.55%,5,LAT9
Dravnieku pamatskola,8221401,61.64%,5,LAT9
Galēnu pamatskola,8221403,60.15%,6,LAT9
Rušonas pamatskola,8221405,59.55%,8,LAT9
Sīļukalna pamatskola,8221407,65.18%,10,LAT9
Riebiņu vidusskola,8231404,62.12%,18,LAT9
"Pamatskola ""Rīdze""",8321104,69.65%,44,LAT9
O.Kalpaka Rīgas Tautas daiļamatu pamatskola,8321107,69.43%,40,LAT9
Rīgas Centra daiļamatniecības pamatskola,8321116,74.13%,37,LAT9
Rīgas Centra humanitārā vidusskola,8331117,76.97%,79,LAT9
Rīgas Natālijas Draudziņas vidusskola ,8331137,52.33%,25,LAT9
Rīgas Raiņa 8. vakara (maiņu) vidusskola,8341122,56.29%,13,LAT9
Rīgas Valsts 1. ģimnāzija,8361130,79.24%,125,LAT9
Rīgas Valsts 3. ģimnāzija,8361131,69.72%,128,LAT9
Rīgas Valdorfskola,8421133,68.70%,14,LAT9
Iļģuciema vidusskola,8431106,61.01%,36,LAT9
"Privātā vidusskola ""Patnis""",8431110,63.13%,10,LAT9
Rīgas 19. vidusskola,8431114,67.07%,18,LAT9
Rīgas 41. vidusskola,8431117,60.73%,31,LAT9
Rīgas 69. vidusskola,8431120,64.99%,33,LAT9
Rīgas Imantas vidusskola,8431128,58.68%,58,LAT9
Rīgas Valsts vācu ģimnāzija,8461134,67.67%,95,LAT9
Emīla Dārziņa mūzikas vidusskola,8471104,77.41%,20,LAT9
Rīgas Doma kora skola,8471114,75.20%,25,LAT9
Andreja Pumpura Rīgas 11. pamatskola,8521101,66.22%,39,LAT9
Rīgas Avotu pamatskola,8521105,53.88%,15,LAT9
Rīgas Pļavnieku pamatskola,8521150,58.08%,44,LAT9
"Privātā pamatskola ""RIMS-Rīga International meridian school""",8523149,60.91%,2,LAT9
Rīgas 25. vidusskola,8531115,59.90%,79,LAT9
Rīgas 6. vidusskola,8531118,61.41%,58,LAT9
Rīgas 93. vidusskola,8531129,65.56%,35,LAT9
Rīgas Kristīgā vidusskola,8531134,68.46%,23,LAT9
Rīgas Lietuviešu vidusskola,8531137,63.80%,27,LAT9
Rīgas 1. vidusskola,8533111,57.36%,10,LAT9
Rīgas Tālmācības vidusskola,8541105,55.34%,24,LAT9
"Tālmācības vidusskola ""Rīgas Komercskola""",8541160,74.16%,7,LAT9
Rīgas vakara ģimnāzija,8543147,56.85%,13,LAT9
Rīgas 1. Tālmācības vidusskola,8543150,50.36%,25,LAT9
Rīgas pilsētas Pļavnieku ģimnāzija,8551138,63.64%,20,LAT9
Rīgas Lastādijas internātpamatskola,8583135,44.55%,1,LAT9
Mežciema pamatskola,8621104,67.89%,37,LAT9
"Pamatskola ""Harmonija""",8621105,78.18%,5,LAT9
Rīgas Ezerkrastu pamatskola,8621131,65.62%,11,LAT9
Rīgas 45. vidusskola,8631117,61.37%,43,LAT9
Rīgas 49. vidusskola,8631118,71.95%,64,LAT9
Rīgas 64. vidusskola,8631122,67.48%,82,LAT9
Rīgas 84. vidusskola,8631125,68.99%,54,LAT9
Rīgas 85. vidusskola,8631126,60.08%,23,LAT9
Rīgas Hanzas vidusskola,8631133,65.17%,64,LAT9
Rīgas Juglas vidusskola,8631136,69.57%,64,LAT9
Rīgas Teikas vidusskola,8631143,72.73%,94,LAT9
Biznesa un vadības privātvidusskola,8633102,41.82%,2,LAT9
"Privātā vidusskola ""Klasika""",8633107,66.00%,5,LAT9
Rīgas 9. vakara (maiņu) vidusskola,8643128,52.73%,19,LAT9
Rīgas Franču licejs,8651132,75.79%,52,LAT9
Strazdumuižas internātvidusskola - attīstības centrs vājredzīgiem un neredzīgiem bērniem,8681144,85.45%,1,LAT9
Friča Brīvzemnieka pamatskola,8721101,56.97%,21,LAT9
Rīgas Igauņu pamatskola,8721129,69.55%,4,LAT9
Rīgas 47. vidusskola,8731105,61.03%,31,LAT9
Rīgas 94. vidusskola,8731110,65.94%,39,LAT9
Rīgas 14. vakara (maiņu) vidusskola,8743103,51.11%,9,LAT9
Rīgas 14. vakara (maiņu) vidusskola (Iļģuciema cietums),8743114,26.67%,6,LAT9
Rīgas Angļu ģimnāzija,8751112,65.24%,54,LAT9
Rīgas Katoļu ģimnāzija,8751118,66.36%,4,LAT9
Ziemeļvalstu ģimnāzija,8751128,67.84%,51,LAT9
Āgenskalna Valsts ģimnāzija,8761103,75.28%,88,LAT9
Rīgas Mūzikas internātvidusskola,8781118,59.62%,12,LAT9
Rīgas 7. pamatskola,8821112,71.95%,7,LAT9
Rīgas 28. vidusskola,8831107,55.31%,31,LAT9
Rīgas 31. vidusskola,8831109,53.41%,32,LAT9
Rīgas Jāņa Poruka vidusskola,8831113,64.13%,13,LAT9
Rīgas Kultūru vidusskola,8831114,64.30%,22,LAT9
Rīgas 18. vakara (maiņu) vidusskola,8843106,54.09%,8,LAT9
Rīgas Valsts 2. ģimnāzija,8861121,78.29%,90,LAT9
Rīgas 66. speciālā vidusskola,8883112,75.31%,13,LAT9
Rojas vidusskola,8931402,66.97%,27,LAT9
Zaķumuižas pamatskola,9021303,64.92%,12,LAT9
Ropažu vidusskola,9031301,61.69%,14,LAT9
Rucavas pamatskola,9121401,71.11%,9,LAT9
Sikšņu pamatskola,9121402,63.79%,6,LAT9
Rugāju novada Eglaines pamatskola,9221401,74.55%,7,LAT9
Rugāju novada vidusskola,9231402,63.44%,14,LAT9
Pilsrundāles vidusskola,9331401,62.31%,22,LAT9
Rūjienas vidusskola,9431304,64.78%,38,LAT9
Krišjāņa Valdemāra Ainažu pamatskola,9521301,70.61%,9,LAT9
Salacgrīvas vidusskola,9531303,63.64%,29,LAT9
Liepupes vidusskola,9531402,68.74%,13,LAT9
Biržu pamatskola,9621403,53.84%,9,LAT9
Salas vidusskola,9631404,72.73%,12,LAT9
Biržu internātpamatskola,9681402,53.86%,16,LAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",9731301,63.43%,52,LAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",9733302,64.72%,16,LAT9
Saldus pamatskola,9821319,67.95%,31,LAT9
Saldus novada pašvaldības Jaunlutriņu pamatskola,9821407,57.40%,7,LAT9
Saldus novada pašvaldības Kursīšu pamatskola,9821409,59.35%,7,LAT9
Saldus novada pašvaldības Lutriņu pamatskola,9821411,55.00%,12,LAT9
Saldus novada pašvaldības Nīgrandes pamatskola,9821412,68.08%,9,LAT9
Saldus novada pašvaldības Pampāļu pamatskola,9821413,62.73%,8,LAT9
Saldus novada pašvaldības Rubas pamatskola,9821414,70.23%,12,LAT9
Saldus novada pašvaldības Striķu pamatskola,9821417,60.91%,4,LAT9
Saldus novada pašvaldības Zirņu pamatskola,9821418,74.91%,10,LAT9
Saldus 2. vidusskola,9831302,71.96%,33,LAT9
Saldus 1.vidusskola,9831303,70.98%,38,LAT9
Saldus novada pašvaldības Druvas vidusskola,9831405,75.18%,23,LAT9
Saldus novada pašvaldības Ezeres vidusskola,9831406,61.21%,15,LAT9
